Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2021-05-23,22-304,PHO,,LAL,W (+9),1,36:43,10,11,.909,0,0,,1,2,.500,8,8,16,0,0,1,1,3,21,23.4,+16
2,2,2021-05-25,22-306,PHO,,LAL,L (-7),1,42:14,11,13,.846,0,0,,0,0,,2,8,10,1,0,0,1,4,22,19.2,-5
3,3,2021-05-27,22-308,PHO,@,LAL,L (-14),1,41:11,11,15,.733,0,0,,0,1,.000,4,7,11,0,1,2,4,4,22,17.2,-14
4,4,2021-05-30,22-311,PHO,@,LAL,W (+8),1,38:29,6,8,.750,0,0,,2,5,.400,2,15,17,0,2,1,0,4,14,16.6,+12
5,5,2021-06-01,22-313,PHO,,LAL,W (+30),1,27:16,2,3,.667,0,0,,4,6,.667,2,5,7,2,0,0,0,2,8,9.4,+25
6,6,2021-06-03,22-315,PHO,@,LAL,W (+13),1,31:52,3,4,.750,0,0,,2,2,1.000,0,3,3,1,0,0,0,1,8,7.6,0
7,7,2021-06-07,22-319,PHO,,DEN,W (+17),1,36:25,9,13,.692,0,0,,2,2,1.000,3,7,10,0,1,0,1,1,20,18.3,+13
8,8,2021-06-09,22-321,PHO,,DEN,W (+25),1,25:40,6,10,.600,0,0,,3,4,.750,2,8,10,0,0,0,3,2,15,10.0,+16
9,9,2021-06-11,22-323,PHO,@,DEN,W (+14),1,36:58,4,8,.500,0,0,,2,2,1.000,3,12,15,2,0,0,0,1,10,12.7,+18
10,10,2021-06-13,22-325,PHO,@,DEN,W (+7),1,33:57,6,10,.600,0,0,,0,0,,1,6,7,0,1,1,1,4,12,9.0,+15
11,11,2021-06-20,22-332,PHO,,LAC,W (+6),1,36:32,10,14,.714,0,0,,0,0,,3,6,9,2,0,0,1,1,20,18.1,-7
12,12,2021-06-22,22-334,PHO,,LAC,W (+1),1,34:32,12,15,.800,0,0,,0,1,.000,3,11,14,1,1,1,1,3,24,23.5,+4
