Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2020-12-23,22-153,PHO,,DAL,W (+4),1,24:10,5,9,.556,0,0,,3,6,.500,1,7,8,1,1,2,2,4,13,9.8,-4
2,2,2020-12-26,22-156,PHO,@,SAC,L (-3),1,29:56,3,5,.600,0,0,,3,5,.600,4,8,12,2,0,1,2,5,9,9.2,+7
3,3,2020-12-27,22-157,PHO,@,SAC,W (+16),1,29:18,5,11,.455,1,2,.500,0,0,,3,12,15,4,0,0,1,2,11,12.0,-1
4,4,2020-12-29,22-159,PHO,,NOP,W (+25),1,26:27,6,11,.545,0,0,,1,1,1.000,5,7,12,0,0,1,0,1,13,13.6,+16
5,5,2020-12-31,22-161,PHO,@,UTA,W (+11),1,28:20,2,8,.250,0,0,,0,0,,2,7,9,3,1,2,1,3,4,5.0,-1
6,6,2021-01-01,22-162,PHO,@,DEN,W (+3),1,37:30,10,13,.769,0,1,.000,2,2,1.000,2,9,11,1,0,2,4,3,22,17.9,-11
7,7,2021-01-03,22-164,PHO,,LAC,L (-5),1,29:30,9,12,.750,0,0,,6,7,.857,4,4,8,2,1,0,1,5,24,22.2,-15
8,8,2021-01-06,22-167,PHO,,TOR,W (+8),1,31:25,5,8,.625,0,1,.000,1,1,1.000,2,14,16,1,0,0,2,5,11,9.7,-1
9,9,2021-01-08,22-169,PHO,@,DET,L (-5),1,36:49,7,9,.778,0,0,,0,3,.000,4,9,13,2,1,2,5,5,14,11.6,-26
10,10,2021-01-09,22-170,PHO,@,IND,W (+8),1,33:42,4,10,.400,0,0,,0,0,,3,11,14,3,0,0,0,2,8,9.3,+12
11,11,2021-01-11,22-172,PHO,@,WAS,L (-21),1,24:54,4,10,.400,0,0,,0,0,,2,4,6,1,0,1,2,2,8,3.8,-23
12,12,2021-01-18,22-179,PHO,@,MEM,L (-4),1,34:38,7,14,.500,0,2,.000,4,5,.800,3,12,15,3,0,1,3,2,18,15.3,+7
13,13,2021-01-20,22-181,PHO,@,HOU,W (+6),1,35:34,11,15,.733,0,0,,4,4,1.000,6,11,17,3,0,5,2,3,26,29.8,-5
14,14,2021-01-22,22-183,PHO,,DEN,L (-4),1,37:10,11,13,.846,0,1,.000,5,5,1.000,6,7,13,1,1,0,0,3,27,29.1,+4
15,15,2021-01-23,22-184,PHO,,DEN,L (-8),1,37:36,7,14,.500,1,2,.500,2,3,.667,2,11,13,1,0,2,3,6,17,11.0,+2
16,16,2021-01-27,22-188,PHO,,OKC,L (-5),1,35:04,2,7,.286,0,0,,1,2,.500,4,10,14,0,1,0,4,3,5,2.1,+7
17,17,2021-01-28,22-189,PHO,,GSW,W (+21),1,23:19,5,7,.714,0,0,,2,2,1.000,4,9,13,4,1,0,4,4,12,12.8,+11
18,18,2021-01-30,22-191,PHO,@,DAL,W (+6),1,39:04,8,16,.500,0,1,.000,2,4,.500,6,11,17,4,1,0,2,2,18,17.7,+10
19,19,2021-02-01,22-193,PHO,@,DAL,W (+1),1,32:56,5,12,.417,0,1,.000,0,1,.000,6,11,17,1,0,1,2,5,10,8.1,-13
20,20,2021-02-03,22-195,PHO,@,NOP,L (-22),1,29:06,6,9,.667,0,0,,1,1,1.000,4,7,11,2,0,1,1,3,13,13.9,-14
21,21,2021-02-05,22-197,PHO,,DET,W (+17),1,32:57,4,11,.364,0,1,.000,0,0,,5,8,13,1,0,1,5,4,8,2.6,+23
22,22,2021-02-07,22-199,PHO,,BOS,W (+9),1,38:48,7,11,.636,0,1,.000,2,2,1.000,2,9,11,3,0,1,3,3,16,13.8,+20
23,23,2021-02-08,22-200,PHO,,CLE,W (+6),1,36:42,7,11,.636,0,0,,1,2,.500,8,8,16,2,0,3,1,2,15,19.4,+4
24,24,2021-02-10,22-202,PHO,,MIL,W (+1),1,29:50,7,10,.700,1,1,1.000,2,2,1.000,4,3,7,0,0,0,2,5,17,12.5,-4
25,25,2021-02-13,22-205,PHO,,PHI,W (+9),1,26:48,5,6,.833,0,0,,1,2,.500,1,5,6,0,0,0,2,3,11,7.4,-6
26,26,2021-02-14,22-206,PHO,,ORL,W (+19),1,30:00,5,7,.714,0,1,.000,0,0,,4,9,13,1,0,0,2,2,10,10.5,+20
27,27,2021-02-16,22-208,PHO,,BRK,L (-4),1,34:33,7,9,.778,1,1,1.000,1,1,1.000,1,8,9,2,0,1,1,4,16,15.1,-1
28,28,2021-02-19,22-211,PHO,@,NOP,W (+18),1,35:07,7,12,.583,0,0,,2,3,.667,4,12,16,2,0,1,2,3,16,15.3,+20
29,29,2021-02-20,22-212,PHO,@,MEM,W (+31),1,22:29,3,6,.500,0,0,,1,2,.500,1,5,6,1,0,2,0,0,7,7.9,+15
30,30,2021-02-22,22-214,PHO,,POR,W (+32),1,25:50,8,11,.727,0,0,,3,3,1.000,2,3,5,2,1,2,1,2,19,18.8,+25
31,31,2021-02-24,22-216,PHO,,CHO,L (-3),1,31:37,5,8,.625,0,0,,6,8,.750,4,6,10,1,0,1,0,2,16,16.8,-9
32,32,2021-02-26,22-218,PHO,@,CHI,W (+9),1,33:25,10,17,.588,0,0,,2,2,1.000,2,5,7,1,1,3,0,2,22,20.0,+9
33,33,2021-02-28,22-220,PHO,@,MIN,W (+19),1,25:48,9,11,.818,0,0,,4,4,1.000,2,8,10,1,1,0,0,4,22,21.8,+13
